date_witness,date_agent,witness,agent,latitude,longitude,city,country,region_hq,has_weapon,has_hat,has_jacket,behavior
1997-08-01,1997-09-16,Eric Edwards,Gerald Green,33.92866,-6.90656,Temara,MA,Casablanca,False,False,True,fleeing
1987-04-16,1987-05-22,Kenneth Sparks,Kimberly Gibson,-27.76952,30.79165,Vryheid,ZA,Johannesburg,False,True,True,scared
1985-07-27,1985-08-21,Douglas Brown,Margaret Ortega,36.08497,9.37082,Siliana,TN,Tunis,False,True,True,talkative
2007-11-02,2007-11-07,Elizabeth Webb,Edward Anderson,7.62789,4.74161,Ilesa,NG,Lagos,False,False,True,evasive
2001-11-01,2001-11-11,David Jefferson,Matthew Brown,34.15429,3.50309,Messaad,DZ,Algiers,False,True,True,silent
2008-11-04,2008-12-29,Michael Spears,Christina Krause,12.18441,18.69303,Mongo,TD,Ndjamena,False,True,True,over-complimenting
2008-01-21,2008-02-18,Leah Fitzgerald,Daniel Moore,9.89206,43.38531,Baki,SO,Mogadishu,True,False,True,fleeing
1993-03-11,1993-04-23,Courtney Cantu,Robert Baird,-10.33333,39.28333,Nyangao,TZ,Dar es Salaam,False,False,True,out-of-control
1990-03-26,1990-05-24,Brittney Knight,Jeremy Mccullough,36.72544,3.55665,Thenia,DZ,Algiers,False,True,True,confessing
1990-05-18,1990-06-04,Christopher Cummings,Charles Mitchell,-4.83,29.65806,Mwandiga,TZ,Dar es Salaam,False,True,False,tense
2008-09-06,2008-10-23,Thomas Brown,Thomas Hamilton,-6.8,39.25,Magomeni,TZ,Dar es Salaam,False,True,True,out-of-control
1991-01-14,1991-02-24,April Sampson,Kevin Contreras,7.57944,-8.53778,New Yekepa,LR,Monrovia,False,True,True,complaining
2010-10-21,2010-10-30,Darlene West,Jeffery Blair,36.06386,4.62744,El Achir,DZ,Algiers,False,False,True,tense
2010-12-08,2011-01-22,James Greene,Stephen Ferguson,33.43443,-5.22126,Azrou,MA,Casablanca,False,True,False,out-of-control
1992-07-10,1992-08-04,Casey Chapman,Timothy Davis,-1.9487,30.4347,Rwamagana,RW,Kigali,False,False,True,sad
2013-02-20,2013-03-21,Jaime Ford,Darrell Crawford,-26.93366,29.24152,Standerton,ZA,Johannesburg,True,True,True,friendly
2020-09-06,2020-09-23,Sharon Figueroa,Alexis Conway PhD,-11.78333,19.91667,Luena,AO,Luanda,False,True,True,unhappy
2018-10-22,2018-12-19,Michael Miller,Gordon Jimenez,12.74482,4.52514,Argungu,NG,Lagos,True,True,True,scared
2017-07-01,2017-08-23,Jacob Rogers,Kathleen Hicks,11.8659,34.3869,Ar Ruseris,SD,Khartoum,False,True,True,paranoid
2006-01-15,2006-02-25,Susan Davis,Beth Cuevas,7.06273,-1.4001,Mampong,GH,Accra,False,False,False,talkative
1987-06-18,1987-06-28,Heidi Jenkins,Marie Hill,7.57944,-8.53778,New Yekepa,LR,Monrovia,False,False,True,confessing
1985-11-26,1985-12-08,Christina Boone,Caleb Cook,6.45407,3.39467,Lagos,NG,Lagos,False,False,True,happy
2005-12-19,2005-12-29,Lori Parker,Aaron Nguyen,5.30383,-1.98956,Tarkwa,GH,Accra,True,True,True,paranoid
2010-12-29,2011-01-22,Jonathan Page,Bethany Chen,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,False,False,True,friendly
2002-07-27,2002-07-27,Colton Jones,Allen Baker,0.76755,24.43973,Yangambi,CD,Lubumbashi,False,True,False,over-complimenting
1985-08-11,1985-09-30,Raymond Mccullough,Nicole Adams,35.21222,2.31889,Ksar Chellala,DZ,Algiers,False,False,True,silent
2005-01-19,2005-03-14,Sonya Kirby,Jacob Santiago,4.2475,9.00472,Idenao,CM,Douala,False,False,False,paranoid
1993-04-08,1993-05-28,David King,Lauren Smith,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,True,True,True,fleeing
1999-01-25,1999-02-02,Jennifer Lopez,Brandon Miller,-21.98333,16.91667,Okahandja,,Windhoek,False,True,True,out-of-control
2008-12-19,2008-12-20,Melissa Miller,Sandra Ramos,-4.06667,37.73333,Same,TZ,Dar es Salaam,False,False,True,lonely
1990-12-19,1991-01-05,Shelby Bartlett,John Barr,8.88649,2.59753,Tchaourou,BJ,Porto-Novo,False,False,True,silent
2009-02-01,2009-02-17,Dylan Moyer,Randy Simmons,3.27833,32.88667,Kitgum,UG,Kampala,False,True,True,happy
1995-01-12,1995-02-11,Dr. Andre Rivera,Todd Garcia,5.30383,-1.98956,Tarkwa,GH,Accra,False,True,False,scared
2006-05-26,2006-06-30,Daniel Williams,Nicole Scott,36.46917,10.78222,Beni Khiar,TN,Tunis,False,True,True,oblivious
1994-03-16,1994-04-22,Robert Berry,Christian Moore,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,True,True,out-of-control
2009-01-05,2009-01-09,Amanda Allen,Miranda Lester,4.96667,10.7,Tonga,CM,Douala,False,True,True,silent
1990-06-22,1990-07-25,Ryan Buchanan,Stephanie Taylor,5.84752,-5.682,Lakota,CI,Abidjan,True,True,True,panicking
1994-12-22,1995-01-28,Robert Moore,Alexandra Jones,-4.06667,37.73333,Same,TZ,Dar es Salaam,False,True,True,unhappy
2013-10-19,2013-10-30,Christina Lee,Kimberly Cooper,9.535,-13.68778,Camayenne,GN,Conakry,False,False,True,silent
2007-02-10,2007-04-02,Barbara Garza,Tiffany Bennett,-21.44236,27.46153,Tonota,BW,Gaborone,True,False,True,insulting
2001-03-01,2001-04-11,Jesse Roberts,Candice Johnson,13.70727,9.15013,Mirriah,NE,Niamey,False,True,True,happy
2001-09-08,2001-09-17,Jason Crane,Paul Rogers,-24.19436,29.00974,Mokopane,ZA,Johannesburg,False,False,False,accusatory
2013-11-14,2013-11-14,Jacqueline Newton,Cynthia Moore,3.11988,35.59642,Lodwar,KE,Nairobi,False,False,False,over-complimenting
2017-07-24,2017-08-23,Christina Prince,Kevin Martin,-4.26613,15.28318,Brazzaville,CG,Brazzaville,False,True,True,panicking
1993-03-12,1993-04-29,Andrew Rodriguez,Todd Garcia,-4.26613,15.28318,Brazzaville,CG,Brazzaville,False,True,True,scared
2013-11-10,2013-12-16,Amy Bowen,Thomas Hamilton,-21.44236,27.46153,Tonota,BW,Gaborone,False,True,True,accusatory
2012-06-01,2012-07-03,Lori Murphy,Austin Williams,31.20176,29.91582,Alexandria,EG,Cairo,False,True,True,lonely
1993-05-19,1993-07-12,Tracy Sullivan,Jasmine Rowland,36.76639,3.47717,Boumerdas,DZ,Algiers,False,True,True,happy
2005-10-21,2005-12-07,Tiffany Hood,Valerie Griffin,26.67319,31.4976,Juhaynah,EG,Cairo,False,False,True,friendly
2019-05-25,2019-07-21,Tara Jefferson MD,Mark Williams,-11.78333,19.91667,Luena,AO,Luanda,False,True,True,lonely
2008-12-01,2008-12-25,Jason Guerrero,Meredith Gibbs,-26.93366,29.24152,Standerton,ZA,Johannesburg,True,True,True,evasive
2013-08-14,2013-08-19,Jose Moore,Kenneth Barrett,34.31,-2.16,Jerada,MA,Casablanca,False,True,True,over-complimenting
2020-04-30,2020-05-27,Steven Stafford,Mr. Frederick Bryant,-13.7804,34.4587,Salima,MW,Blantyre,False,False,True,evasive
2008-01-17,2008-02-29,Richard Mcdaniel,Angelica Chan,35.72917,10.58082,Msaken,TN,Tunis,False,False,True,tense
2004-06-05,2004-08-03,Mary Tyler,Lacey Brown,5.84752,-5.682,Lakota,CI,Abidjan,False,False,True,hostile
2001-09-14,2001-09-30,Kevin Graves,Todd Garcia,7.50251,5.06258,Igbara-Odo,NG,Lagos,False,False,True,fleeing
1998-06-29,1998-07-15,Daniel Cooley,Denise Park,7.50251,5.06258,Igbara-Odo,NG,Lagos,False,True,True,worried
1995-12-04,1996-01-10,Robert Thomas,David Richardson,-10.33333,39.28333,Nyangao,TZ,Dar es Salaam,False,True,True,sad
1998-10-12,1998-10-15,Paula Carpenter,Kimberly Woods,33.42585,-6.00137,Oulmes,MA,Casablanca,False,True,True,friendly
2011-06-30,2011-08-03,Lisa Stevens,Victor Tapia,36.61954,4.08282,Beni Douala,DZ,Algiers,False,True,True,unhappy
2005-09-13,2005-10-08,Jeffery Martinez,John Hayes,11.86064,9.0027,Gaya,NG,Lagos,False,True,True,evasive
1997-09-28,1997-10-29,Robin Miller,Ashley Davis,0.76755,24.43973,Yangambi,CD,Lubumbashi,False,True,False,out-of-control
1996-03-26,1996-03-26,Gregory White,Zachary Hawkins,4.96667,10.7,Tonga,CM,Douala,False,False,True,accusatory
1992-10-09,1992-11-04,David Henry,Alexa Flores,36.08497,9.37082,Siliana,TN,Tunis,False,False,True,panicking
2015-06-28,2015-07-08,Kellie Gray,Nancy White,-6.25,38.66667,Mvomero,TZ,Dar es Salaam,False,True,True,happy
2003-07-07,2003-07-20,Jon Smith,Steven Lee,-26.93366,29.24152,Standerton,ZA,Johannesburg,False,True,False,complaining
2008-02-12,2008-03-16,April Brown,Jennifer Snyder,5.27247,-3.59625,Bonoua,CI,Abidjan,False,True,True,happy
2011-09-13,2011-09-22,Alicia Rivera,Michelle Lee,9.535,-13.68778,Camayenne,GN,Conakry,False,True,True,over-complimenting
2014-08-06,2014-08-06,Tammy Lopez,Jennifer Swanson,5.30383,-1.98956,Tarkwa,GH,Accra,True,False,True,hostile
1992-12-23,1993-02-04,Amy Hanson,Sonia Mcdaniel,12.74409,-8.07257,Kati,ML,Bamako,True,False,True,sad
1991-08-29,1991-09-28,Gary Jordan,Cynthia Carr,37.16911,10.03478,El Alia,TN,Tunis,False,True,True,panicking
1999-04-26,1999-06-01,Joseph Mills,Emily Mccoy,30.75545,20.22625,Ajdabiya,LY,Tripoli,False,False,True,over-complimenting
1988-10-26,1988-12-24,Robert Lin,Dr. Crystal Mccormick,35.72917,10.58082,Msaken,TN,Tunis,False,False,True,talkative
2012-09-24,2012-09-24,Sheri Kaiser,Joseph Arellano,11.15583,42.7125,'Ali Sabieh,DJ,Djibouti,False,False,False,friendly
2021-04-25,2021-04-25,Denise Smith,Destiny Peterson,2.41669,30.98551,Paidha,UG,Kampala,False,True,True,lonely
1990-05-01,1990-06-10,Melanie Chapman,Terry Erickson,-4.5833,15.16554,Kasangulu,CD,Kinshasa,False,True,True,friendly
1992-11-07,1992-12-23,Joan Wallace,Samuel Cunningham,9.535,-13.68778,Camayenne,GN,Conakry,False,True,True,lonely
2006-01-04,2006-01-18,Patricia Bush,Randy Simmons,6.8485,3.64633,Shagamu,NG,Lagos,True,True,False,paranoid
2012-12-31,2013-01-27,Miss Jennifer Willis MD,Lisa Sweeney,7.57944,-8.53778,New Yekepa,LR,Monrovia,False,True,True,panicking
1988-08-31,1988-10-12,Kayla Hebert,Michael Riddle,33.42585,-6.00137,Oulmes,MA,Casablanca,False,True,True,friendly
2008-04-13,2008-04-30,Lisa Edwards,Holly Chapman,9.58126,8.2926,Kafanchan,NG,Lagos,False,True,True,insulting
2012-04-06,2012-05-28,Michael Simmons,Laura Oconnor,33.43443,-5.22126,Azrou,MA,Casablanca,True,True,True,paranoid
2019-03-16,2019-04-03,Alexis West,Cynthia Carr,33.43443,-5.22126,Azrou,MA,Casablanca,False,True,True,worried
1987-06-26,1987-07-27,Hailey Parsons,Jordan Torres,8.48714,-13.2356,Freetown,SL,Freetown,False,False,True,tense
1997-09-20,1997-10-21,Melissa Alexander,Evan Perkins,-13.7804,34.4587,Salima,MW,Blantyre,False,True,True,worried
2019-09-21,2019-11-18,Jeffrey Cooper,Mr. James Hooper,6.03333,37.55,Arba Minch,ET,Addis Ababa,False,True,True,unhappy
1996-09-23,1996-09-24,Grace Walsh,Adam Smith,36.72544,3.55665,Thenia,DZ,Algiers,False,True,True,scared
2019-06-04,2019-08-02,Michael Padilla,Mark Valenzuela,6.45407,3.39467,Lagos,NG,Lagos,False,False,True,paranoid
2014-04-08,2014-06-06,Megan Hernandez,Brett Scott,-4.26613,15.28318,Brazzaville,CG,Brazzaville,False,True,True,paranoid
2020-05-27,2020-06-27,Andrew Roberts,Carrie Boone,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,True,True,complaining
1997-02-12,1997-03-16,Emily Miles,Christopher Sandoval,11.86064,9.0027,Gaya,NG,Lagos,False,False,True,injured
1994-12-07,1994-12-11,Hannah Miller,James Bryant,-8.73508,24.99798,Kamina,CD,Lubumbashi,False,False,True,friendly
2002-07-24,2002-08-11,Nicholas Rogers,Ashley Larson,34.15429,3.50309,Messaad,DZ,Algiers,False,True,True,happy
2013-07-19,2013-08-29,Justin Jackson,Susan Bowers,5.27247,-3.59625,Bonoua,CI,Abidjan,False,False,True,paranoid
2015-07-16,2015-08-30,James Chase,Matthew Brown,0.46005,34.11169,Busia,KE,Nairobi,False,True,True,unhappy
2015-09-02,2015-09-04,Mark Owens,Ronald Wong PhD,-2.68333,33.0,Usagara,TZ,Dar es Salaam,False,False,True,evasive
2021-07-21,2021-08-11,John Evans,Holly Chapman,30.75545,20.22625,Ajdabiya,LY,Tripoli,False,True,True,paranoid
2022-01-08,2022-01-21,Jennifer Roberson,Carrie Jones,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,True,True,True,talkative
2009-03-17,2009-03-20,Christopher Johnson,Ryan Wilkinson,31.20176,29.91582,Alexandria,EG,Cairo,False,False,True,talkative
2007-01-02,2007-02-27,John Johnson,Daniel Moore,-21.98333,16.91667,Okahandja,,Windhoek,False,True,True,tense
1990-04-01,1990-05-17,Ryan Chandler,Charles Moran,3.51667,11.5,Mbalmayo,CM,Douala,False,True,True,hostile
1996-09-21,1996-10-18,Marissa Pugh,Anthony Hamilton,6.46346,-2.31938,Bibiani,GH,Accra,False,True,True,sad
1990-09-01,1990-09-22,Mario Barber,Christina Krause,2.41669,30.98551,Paidha,UG,Kampala,True,True,True,panicking
1989-08-20,1989-08-29,Anthony Brooks,Jeanne Green,2.41669,30.98551,Paidha,UG,Kampala,False,True,True,injured
2003-05-30,2003-06-16,Philip Boone,Daniel Lewis,7.06273,-1.4001,Mampong,GH,Accra,False,False,True,paranoid
2020-03-11,2020-04-01,Shannon Hines,Dr. Gregory Gibson,7.6,4.18333,Olupona,NG,Lagos,False,True,True,talkative
2014-05-03,2014-05-26,Kara Flores,Diana Torres,36.46917,10.78222,Beni Khiar,TN,Tunis,False,True,True,oblivious
2015-10-04,2015-11-09,Matthew Moore,Andrew Sullivan,13.56667,-15.6,Farafenni,GM,Banjul,False,False,True,paranoid
2021-10-14,2021-11-10,David Hart,Laura Santana,-4.26613,15.28318,Brazzaville,CG,Brazzaville,True,False,True,fleeing
1996-08-25,1996-09-23,Matthew Griffin,Shelia Holmes,6.46346,-2.31938,Bibiani,GH,Accra,False,True,False,oblivious
1990-03-13,1990-03-29,Latasha Santiago,Todd Garcia,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,True,True,True,lonely
1990-09-13,1990-09-23,Donald Atkins,Natalie Jordan,30.75545,20.22625,Ajdabiya,LY,Tripoli,False,False,True,friendly
2013-09-07,2013-10-12,Kelly Anderson,Tiffany Bennett,-24.19436,29.00974,Mokopane,ZA,Johannesburg,False,False,True,sad
1996-08-31,1996-09-12,Mikayla Brown,John Hayes,-27.76952,30.79165,Vryheid,ZA,Johannesburg,False,False,True,talkative
2002-11-16,2003-01-09,Valerie White,Emily Mccoy,36.76775,2.95924,Cheraga,DZ,Algiers,True,True,True,lonely
2007-02-06,2007-03-22,Kimberly Herrera,Pamela Gonzales,-11.78333,19.91667,Luena,AO,Luanda,False,True,True,tense
2012-03-10,2012-03-31,Erica Lopez,Evelyn Hines,13.70727,9.15013,Mirriah,NE,Niamey,False,True,True,talkative
2020-11-03,2020-12-15,Linda Cline,Allen Lawrence,3.02013,30.91105,Arua,UG,Kampala,False,True,True,complaining
2014-09-27,2014-11-23,Jeffery Flores,Victoria Rodriguez,9.89206,43.38531,Baki,SO,Mogadishu,False,True,True,oblivious
1999-02-26,1999-03-02,Mr. Alex Jackson,Cristina Reynolds,11.15583,42.7125,'Ali Sabieh,DJ,Djibouti,False,True,True,lonely
2001-02-08,2001-03-01,Mrs. Angela Parsons,Alan Ford,8.88649,2.59753,Tchaourou,BJ,Porto-Novo,False,False,True,friendly
1992-08-12,1992-09-13,Travis Luna,Summer Mosley,-4.26613,15.28318,Brazzaville,CG,Brazzaville,False,False,True,out-of-control
1992-05-22,1992-07-16,John Williams,Chloe Harris,36.61954,4.08282,Beni Douala,DZ,Algiers,False,False,True,lonely
2013-11-08,2013-12-20,Gina Williams DVM,Nicole Hart,9.535,-13.68778,Camayenne,GN,Conakry,False,False,True,complaining
2008-05-29,2008-07-19,Mary Thompson,Carrie Boone,6.45407,3.39467,Lagos,NG,Lagos,False,True,True,out-of-control
1993-01-02,1993-02-13,Justin Roman,Michael Bailey,-1.9487,30.4347,Rwamagana,RW,Kigali,True,True,True,out-of-control
1991-12-10,1992-01-17,Christopher Huerta,Stephanie Brooks,-10.33333,39.28333,Nyangao,TZ,Dar es Salaam,False,True,True,over-complimenting
2006-05-08,2006-05-16,Mary Ross,David Wagner,-10.33333,39.28333,Nyangao,TZ,Dar es Salaam,False,True,True,happy
1997-08-19,1997-09-05,Rita Fernandez,Kerri Clay,10.61285,12.19458,Biu,NG,Lagos,False,True,True,worried
2009-03-15,2009-03-22,Lisa Bradley,Bethany Chen,12.74409,-8.07257,Kati,ML,Bamako,False,True,True,over-complimenting
2003-04-13,2003-05-24,James Brewer,Elizabeth Cook,0.46005,34.11169,Busia,KE,Nairobi,False,True,True,panicking
2002-03-30,2002-04-08,Christina Johnson,Kendra Mercado,8.88649,2.59753,Tchaourou,BJ,Porto-Novo,True,True,True,talkative
2022-05-25,2022-06-06,Sarah Owens,Charles Moran,-5.41667,38.01667,Chanika,TZ,Dar es Salaam,False,False,True,hostile
2004-06-06,2004-07-08,Morgan Ferguson,Joshua Curtis,-4.5833,15.16554,Kasangulu,CD,Kinshasa,False,False,True,accusatory
2001-01-13,2001-01-18,Susan Winters,Matthew Brown,10.61285,12.19458,Biu,NG,Lagos,False,False,True,panicking
1989-09-01,1989-10-16,Dana Jones,Aaron Nguyen,6.46346,-2.31938,Bibiani,GH,Accra,False,True,True,unhappy
2019-09-27,2019-10-05,Dillon Ramirez,Brittany Henderson,-21.44236,27.46153,Tonota,BW,Gaborone,False,False,True,lonely
2005-05-05,2005-07-02,Stacey Young,Donald Pierce,12.74482,4.52514,Argungu,NG,Lagos,False,True,True,lonely
1998-05-18,1998-07-06,Sheena Joyce,Gordon Jimenez,-26.93366,29.24152,Standerton,ZA,Johannesburg,False,True,True,tense
