sighting,报道,citizen,officer,纬度,经度,city,nation,city_interpol,has_weapon,has_hat,has_jacket,behavior
1995-09-27,1995-10-13,Caleb Jones,Karen Keller MD,40.11583,67.84222,Jizzax,UZ,Samarkand,False,True,True,tense
1996-09-12,1996-09-18,John Archer,Kelly Barnes,33.37526,74.3092,Rajaori,IN,Kolkata,False,True,True,confessing
2005-10-14,2005-12-12,Shane Taylor,Laura Parks,14.95472,120.89694,Baliuag,PH,Manila,False,False,True,confessing
2014-12-23,2015-01-28,Tyler Wilkins,Nicholas Powell,14.46693,75.92694,Davangere,IN,Kolkata,False,True,True,unhappy
2003-07-05,2003-07-14,Brandon Hernandez,Mackenzie Gilbert,21.34222,71.30633,Kundla,IN,Kolkata,True,True,True,paranoid
1988-08-09,1988-09-24,Mr. Alex Adkins,Jeremy Mason,6.84019,79.87116,Dehiwala-Mount Lavinia,LK,Colombo,False,True,True,out-of-control
2016-06-11,2016-07-14,Brittany Mendoza,Samuel Jackson,12.37169,123.62494,Masbate,PH,Manila,False,True,True,lonely
2003-09-26,2003-11-15,Karen Young,Tanya Conley,15.58552,102.42587,Bua Yai,TH,Bangkok,False,True,True,injured
1990-07-14,1990-07-14,Jason Shelton,Charlene Mccormick,29.21399,78.95693,Kashipur,IN,Kolkata,False,False,True,friendly
2014-01-15,2014-02-12,Miranda Leach,Gerald Green,36.53333,136.61667,Nonoichi,JP,Tokyo,False,True,True,talkative
2001-07-05,2001-08-20,Lisa Harper,Stacey Morris,4.02219,101.02083,Teluk Intan,MY,Kuala Lumpur,False,True,True,oblivious
1987-01-13,1987-02-12,Carl Green,Darrell Crawford,35.06667,135.21667,Sasayama,JP,Tokyo,False,False,True,lonely
1989-05-17,1989-06-13,Sean Ward,Mrs. Amy Munoz PhD,31.39547,34.75699,Rahat,IL,Jerusalem,False,False,True,sad
1985-11-27,1985-11-28,Matthew Livingston,Matthew Brown,10.31672,123.89071,Cebu City,PH,Manila,False,True,True,oblivious
2003-06-29,2003-07-04,Charles Martinez,Kathryn Martin,41.77583,140.73667,Hakodate,JP,Tokyo,False,False,True,happy
2009-01-27,2009-02-15,Timothy Frederick,Jerry Collins,31.96258,73.97117,Naushahra Virkan,PK,Karachi,False,False,True,over-complimenting
2008-06-24,2008-08-10,Justin Jones,Rachel Barnes,33.86419,48.26258,Aleshtar,IR,Tehran,False,False,True,over-complimenting
2002-12-11,2002-12-15,John Wong,Allen Baker,41.29444,69.67639,Parkent,UZ,Tashkent,False,True,True,scared
2018-05-13,2018-06-12,Jacqueline Henry,James Dawson,25.75728,75.37991,Deoli,IN,Kolkata,False,True,True,complaining
1988-07-02,1988-07-28,Cassandra Salazar,Ryan Wilkinson,41.77583,140.73667,Hakodate,JP,Tokyo,False,False,True,happy
2011-06-29,2011-08-26,Jimmy Mendez,Micheal Thomas,6.33444,124.95278,Tupi,PH,Manila,False,True,True,panicking
2006-12-09,2006-12-21,Denise Hill,Jasmine Rowland,-6.48167,106.85417,Cibinong,ID,Jakarta,False,True,True,out-of-control
1990-04-26,1990-05-19,Jennifer Rogers,Michael Tate,55.8736,85.4265,Yashkino,RU,Novokuznetsk,False,True,True,injured
2012-12-16,2013-02-07,Jessica Blackburn,Julia Cannon,55.54028,89.20083,Sharypovo,RU,Krasnoyarsk,True,True,True,worried
2021-04-30,2021-05-06,Patrick Nguyen,Leslie Curtis,16.0438,120.4861,Manaoag,PH,Manila,False,True,True,scared
2004-08-14,2004-08-22,Andrew Ross,Kenneth Barrett,-7.54972,110.71639,Ngemplak,ID,Jakarta,False,False,True,evasive
2021-08-26,2021-08-30,Jessica Gould,Frank Gutierrez,23.02677,113.13148,Foshan,CN,Shanghai,False,True,True,injured
2008-06-09,2008-07-03,Amanda Nguyen,Katelyn Garcia,22.10194,85.37752,Barbil,IN,Kolkata,False,True,True,hostile
2018-02-19,2018-04-16,Stacey Collier,James Anderson,9.82564,78.25795,Tiruppuvanam,IN,Kolkata,False,True,True,out-of-control
1994-08-22,1994-09-27,Briana Nelson,Jeffrey Graves MD,6.95194,121.96361,Recodo,PH,Manila,False,False,True,lonely
1996-12-27,1997-01-24,Wendy Trevino,Melissa Ellis,16.0567,103.65309,Roi Et,TH,Bangkok,False,True,True,hostile
2004-01-29,2004-02-27,Desiree Harper,Sarah Green,40.66482,122.22833,Yingkou,CN,Shanghai,False,False,True,panicking
1999-12-28,2000-01-23,Amanda Pham,Bethany Chen,10.58806,77.24779,Udumalaippettai,IN,Kolkata,True,False,True,lonely
2001-10-23,2001-11-20,Jason Humphrey,Belinda Thompson,32.17629,75.06583,Fazilpur,PK,Karachi,False,False,True,silent
2014-09-17,2014-11-14,Kristi Fox,Melinda Evans,40.78206,72.34424,Andijon,UZ,Tashkent,False,True,False,hostile
2012-10-17,2012-10-24,Stephanie White,Randy Simmons,21.46527,83.97573,Sambalpur,IN,Kolkata,False,True,True,tense
2014-06-19,2014-08-15,Travis Dixon,Robert Baird,40.85158,122.74754,Haicheng,CN,Shanghai,False,True,True,out-of-control
1986-06-17,1986-07-01,Jacqueline Cruz,Kim Dyer,-6.8048,110.8405,Kudus,ID,Jakarta,False,True,True,sad
1986-02-19,1986-03-19,Robin Melton,Laura Oconnor,25.75728,75.37991,Deoli,IN,Kolkata,False,True,True,friendly
1985-07-16,1985-09-01,Denise Fisher,Jennifer Cook,55.54028,89.20083,Sharypovo,RU,Krasnoyarsk,False,True,True,friendly
1990-10-13,1990-11-30,Eric Johnson,Jennifer George,16.06213,76.0586,Hungund,IN,Kolkata,True,True,True,lonely
2006-12-14,2007-02-02,Charlene Haynes,Jeanette Martinez,16.06213,76.0586,Hungund,IN,Kolkata,False,False,True,complaining
