witnessed,reported,observer,field_chap,lat,long,place,nation,interpol_spot,has_weapon,has_hat,has_jacket,state_of_mind
1998-10-19,1998-11-29,Kevin Mcfarland,Kyle Thomas,-33.79176,151.08057,Eastwood,AU,Sydney,False,True,True,accusatory
1987-01-09,1987-01-22,Katherine Melton,Samuel Jackson,-33.75881,150.99292,Baulkham Hills,AU,Sydney,False,False,True,paranoid
1990-04-11,1990-04-15,Julia Avila,Kendra Mercado,-37.88333,145.06667,Carnegie,AU,Melbourne,False,False,True,hostile
1997-01-14,1997-02-02,Amanda Frazier,Victoria Rodriguez,-25.54073,152.70493,Maryborough,AU,Brisbane,False,False,True,hostile
1987-10-18,1987-11-30,Holly Weaver,Kathleen Hicks,-38.16604,145.13643,Frankston South,AU,Melbourne,False,True,True,unhappy
1998-11-04,1998-12-12,Christine Garner,Casey Wheeler,-37.9,145.18333,Wheelers Hill,AU,Melbourne,False,False,True,friendly
2006-01-26,2006-03-06,Joseph Miller PhD,Jeremy Moran,-37.9,145.18333,Wheelers Hill,AU,Melbourne,False,False,True,injured
1990-08-24,1990-08-24,George Reyes,Jessica Joseph,-37.88333,145.06667,Carnegie,AU,Melbourne,False,False,True,evasive
2004-02-16,2004-03-07,Erica French,Larry Wiggins,-27.50578,153.10236,Carindale,AU,Brisbane,False,True,True,paranoid
1994-04-23,1994-05-25,Elizabeth Davis,Shannon Norman,-37.88333,145.06667,Carnegie,AU,Melbourne,False,True,True,accusatory
2002-08-25,2002-09-23,Jason Brown,Julia Cannon,-37.9,145.18333,Wheelers Hill,AU,Melbourne,False,True,True,evasive
1994-11-01,1994-11-11,Kenneth Juarez,Paul Garner,-37.9,145.18333,Wheelers Hill,AU,Melbourne,True,True,True,confessing
1992-09-18,1992-11-12,Sharon Davis,Stephanie Taylor,-33.88096,151.07986,Strathfield,AU,Sydney,True,False,True,paranoid
2021-07-13,2021-08-30,Mark Montes,Bradley Ewing,-32.05251,115.88782,Willetton,AU,Perth,False,False,True,oblivious
2000-07-25,2000-07-25,Robert Stanley,Laura Oconnor,-27.50578,153.10236,Carindale,AU,Brisbane,False,True,True,lonely
2017-03-19,2017-05-09,Sherry Garcia,Brandon Miller,-31.95224,115.8614,Perth,AU,Perth,False,False,True,over-complimenting
1998-01-18,1998-02-14,Kristin Potts,Ashley Vaughn,-32.05251,115.88782,Willetton,AU,Perth,False,True,True,silent
2004-11-26,2004-12-03,Robert Mitchell,Tiffany Bennett,-33.79176,151.08057,Eastwood,AU,Sydney,False,True,True,over-complimenting
2018-11-03,2018-12-03,Calvin Hood,Zachary Moore,-33.75881,150.99292,Baulkham Hills,AU,Sydney,True,True,True,sad
1985-06-07,1985-07-24,Heather Butler,John Carlson,-33.79176,151.08057,Eastwood,AU,Sydney,False,True,True,oblivious
2006-04-20,2006-05-03,Sandra Mckenzie,Eugene Brown,-25.54073,152.70493,Maryborough,AU,Brisbane,True,False,True,over-complimenting
1988-03-14,1988-04-21,Kimberly Vega,Rebecca Russell,-34.88422,150.60036,Nowra,AU,Sydney,False,False,True,confessing
1990-01-02,1990-02-10,Kelly Brown,Natalie Patrick,-33.75881,150.99292,Baulkham Hills,AU,Sydney,False,False,True,over-complimenting
2011-12-25,2011-12-25,Lindsey Green,Ray Hall,-34.28853,146.05093,Griffith,AU,Sydney,False,False,True,tense
1987-05-05,1987-06-25,Scott Jackson,Ashley Larson,-33.88096,151.07986,Strathfield,AU,Sydney,False,True,True,confessing
2010-03-15,2010-04-09,Felicia Anderson,Kerry Buck,-31.95224,115.8614,Perth,AU,Perth,True,False,True,confessing
