date_witness,date_filed,witness,agent,lat_,long_,city,country,region_hq,armed?,chapeau?,coat?,observed_action
2015-05-02,2015-05-28,Kyle Washington,Leslie Anderson,53.00974,-3.05814,Rhosllanerchrugog,GB,London,False,True,True,sad
2013-03-12,2013-04-02,Manuel Tate,Natalie Jordan,37.08819,-8.2503,Albufeira,PT,Lisbon,False,False,False,fleeing
1987-02-07,1987-03-16,Daniel Roberts,Susan Thomas,48.46458,9.22796,Pfullingen,DE,Berlin,False,True,True,lonely
2006-04-21,2006-04-29,Rachel Gregory,Richard Reyes,48.90472,2.2469,La Garenne-Colombes,FR,Paris,False,True,True,evasive
2004-10-11,2004-11-01,James Reed,Meredith Gibbs,46.32313,-0.45877,Niort,FR,Paris,False,True,True,sad
2022-03-31,2022-05-02,Randy Stokes,Ashley Taylor,48.86667,2.08333,Marly-le-Roi,FR,Paris,False,True,False,paranoid
1992-03-03,1992-03-30,David Cisneros,Lauren Mccoy,39.59611,27.02444,Edremit,TR,Istanbul,True,True,True,worried
2005-05-12,2005-07-09,Ashley Walker,Ray Hall,51.20219,7.36027,Radevormwald,DE,Berlin,False,True,True,tense
1993-01-07,1993-01-31,Laura Brown,Brooke Crawford,53.93361,37.92792,Kireyevsk,RU,Moscow,False,False,False,unhappy
1994-11-04,1994-12-29,Melanie Graves,Steven Edwards,40.98894,28.67582,Yakuplu,TR,Istanbul,True,True,True,tense
2015-10-06,2015-10-25,Donna Hamilton,Kendra Mercado,51.95838,4.47124,Schiebroek,NL,Amsterdam,False,True,True,lonely
1990-12-23,1991-02-13,Dr. Eugene Carlson MD,Kendra Miller,51.95838,4.47124,Schiebroek,NL,Amsterdam,False,False,True,unhappy
1995-07-04,1995-07-07,Benjamin Andrews,Kelly Lindsey,41.20485,-8.33147,Paredes,PT,Lisbon,False,False,True,out-of-control
2004-01-01,2004-02-22,Scott Stone,Mr. Frederick Bryant,60.02427,30.28491,Kolomyagi,RU,Moscow,False,True,True,scared
1989-10-17,1989-11-14,Elizabeth Butler,Wesley Horton,50.79205,-1.08593,Southsea,GB,London,False,True,True,paranoid
2018-12-29,2019-01-02,Amy Gonzales,Jane Hall,53.0233,-1.48119,Belper,GB,London,False,True,True,evasive
2001-05-16,2001-07-10,Jesse Hoffman,Angel Payne,45.78071,12.84052,Portogruaro,IT,Rome,False,True,True,out-of-control
2011-03-02,2011-03-20,Joseph Thompson,Sherry Aguilar,50.80019,7.20769,Siegburg,DE,Berlin,False,True,True,evasive
2013-12-28,2014-01-26,Todd Rivera,Adam Smith,50.82709,6.9747,Wesseling,DE,Berlin,True,True,True,sad
2004-09-13,2004-09-27,Phillip Jenkins,Dana Parker,51.30001,13.10984,Oschatz,DE,Berlin,False,False,False,scared
1996-11-18,1996-12-07,Danielle Castro,Teresa Diaz,48.43174,17.8031,Hlohovec,SK,Bratislava,False,False,True,hostile
1985-04-27,1985-05-20,Perry Mcclain,Andrea Watkins,48.8449,17.22635,Skalica,SK,Bratislava,False,True,True,tense
2017-11-27,2017-12-23,Tanner Beck,Julie Nguyen,61.72744,17.10558,Hudiksvall,SE,Stockholm,False,False,True,unhappy
2000-11-12,2000-11-29,Scott Hunt,Bryce Alvarado,44.31771,9.32241,Chiavari,IT,Rome,False,False,True,confessing
1991-11-12,1991-12-17,Andrew Davis,Nicole Hinton,48.98693,2.44892,Gonesse,FR,Paris,False,False,True,complaining
2020-05-23,2020-05-24,Anthony Gomez,David Simmons,60.18427,24.95034,Kallio,FI,Helsinki,True,True,False,evasive
1995-05-13,1995-05-13,Helen Diaz,Tiffany Morrison,61.78491,34.34691,Petrozavodsk,RU,Moscow,False,False,True,unhappy
1997-09-10,1997-10-12,Michael White,Jason Berg,37.35813,-6.03731,San Juan de Aznalfarache,ES,Madrid,False,False,True,silent
1991-01-10,1991-03-04,Daniel Ingram,Matthew Chavez,46.32313,-0.45877,Niort,FR,Paris,False,True,True,unhappy
1987-02-28,1987-04-24,Samuel Davis,Frank Gutierrez,53.63333,9.85,Halstenbek,DE,Berlin,False,True,True,scared
2018-01-20,2018-02-26,Laura Montoya,Larry Wiggins,53.43333,-7.95,Athlone,IE,Dublin,False,True,True,worried
2016-06-17,2016-08-13,Brandon Pearson,Amanda Brown,50.88506,4.07601,Denderleeuw,BE,Brussels,False,False,True,evasive
2007-05-09,2007-05-18,Emily Thomas,Glen Walker,54.8421,46.5813,Alatyr’,RU,Moscow,False,True,True,paranoid
2020-09-20,2020-10-23,Kevin White,Julia Cannon,40.87329,14.43865,Somma Vesuviana,IT,Rome,False,False,True,worried
1990-11-08,1990-12-14,William Lee,Monica Davis,54.58048,16.86194,Ustka,PL,Warsaw,False,False,True,happy
1989-05-02,1989-06-23,Tyler Massey,Tiffany Morrison,50.18545,27.06365,Shepetivka,UA,Kiev,False,False,True,silent
1999-03-14,1999-04-16,Michael Booth,Brett Wood,53.38333,-0.76667,Gainsborough,GB,London,False,True,True,happy
2006-02-12,2006-03-06,Ronald Carson,Susan Bowers,55.39485,43.83992,Arzamas,RU,Moscow,False,True,True,accusatory
1993-08-30,1993-09-01,Lori Lynch,Timothy Frank,41.57439,24.71204,Smolyan,BG,Sofia,True,False,True,over-complimenting
1987-08-24,1987-09-01,Joseph Brewer,Denise Park,50.74497,3.20639,Mouscron,BE,Brussels,False,True,True,over-complimenting
2014-05-30,2014-07-04,Cheryl Duncan,Rachel Barnes,43.71032,-1.05366,Dax,FR,Paris,False,True,True,insulting
1996-12-22,1997-02-02,Deborah Klein,Jessica Rogers,48.77275,5.16108,Bar-le-Duc,FR,Paris,False,True,True,panicking
2013-09-17,2013-10-25,Justin Bishop,Jacob Salazar,45.69558,4.7934,Saint-Genis-Laval,FR,Paris,False,True,True,hostile
1994-04-19,1994-04-26,Nicole Green,Sue Norman DVM,48.28259,9.72749,Ehingen,DE,Berlin,False,True,True,tense
1990-12-11,1991-01-04,Paul Gonzalez,Nicole Scott,51.12794,4.21372,Temse,BE,Brussels,False,True,True,worried
2006-09-19,2006-10-01,Patrick Silva,Kelly Barnes,48.77275,5.16108,Bar-le-Duc,FR,Paris,False,False,True,worried
2021-12-03,2022-01-19,Melissa Joseph,Christina Ball,40.98894,28.67582,Yakuplu,TR,Istanbul,False,False,True,talkative
2005-01-14,2005-03-09,Matthew Jennings,Anthony Harris,57.97472,33.2525,Valday,RU,Moscow,False,True,True,evasive
1996-06-21,1996-07-16,David Frost,Anna Flores,37.51803,15.00913,Misterbianco,IT,Rome,False,False,False,over-complimenting
2001-10-30,2001-12-13,Glenn Martinez,Jeffrey Bush,54.60528,18.34717,Reda,PL,Warsaw,False,False,True,scared
