date_witness,date_agent,witness,agent,latitude,longitude,city,country,region_hq,has_weapon,has_hat,has_jacket,behavior
1998-02-25,1998-03-06,Jill Patrick,Rita Johnson,-20.88231,55.4504,Saint-Denis,RE,Reunion,False,False,True,accusatory
1988-02-16,1988-03-22,Melissa Graham,Stephen Ferguson,-21.15,46.58333,Ikalamavony,MG,Antananarivo,False,False,True,friendly
1998-12-05,1999-01-04,Christopher Vincent,Frank Gutierrez,-20.88231,55.4504,Saint-Denis,RE,Reunion,False,True,True,fleeing
1991-03-07,1991-04-01,William Sellers,Ashley Taylor,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,False,True,True,fleeing
2007-01-29,2007-02-11,Terri Taylor,Nicole Rogers,-20.88231,55.4504,Saint-Denis,RE,Reunion,False,True,True,fleeing
1985-06-04,1985-07-06,Brandy Randolph,Tammy Bruce,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,False,True,True,talkative
1991-09-19,1991-11-14,Steve Nelson,Kathleen Hicks,-21.15,46.58333,Ikalamavony,MG,Antananarivo,False,True,False,complaining
2015-08-20,2015-10-04,David Brown,Kathryn Martin,-19.65,47.31667,Antanifotsy,MG,Antananarivo,False,True,True,insulting
1989-05-19,1989-05-28,Kathleen Conrad,Todd Robinson,-20.88231,55.4504,Saint-Denis,RE,Reunion,False,True,True,silent
2004-07-14,2004-08-25,James Marshall,Stephanie Taylor,-21.15,46.58333,Ikalamavony,MG,Antananarivo,False,True,True,silent
2014-11-25,2014-12-13,Stacy Beasley,Denise Park,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,False,True,True,unhappy
1985-11-25,1986-01-23,Christopher Gay,Adam Montes,-19.65,47.31667,Antanifotsy,MG,Antananarivo,False,True,True,unhappy
2020-02-18,2020-03-03,Janice Duncan,Erin Ray,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,False,True,True,happy
2020-05-17,2020-05-27,Patrick Johnson,Victor Tapia,-17.83333,48.41667,Ambatondrazaka,MG,Antananarivo,False,True,True,insulting
2017-01-07,2017-01-16,John Barton,Ashley Vaughn,-21.15,46.58333,Ikalamavony,MG,Antananarivo,False,True,True,talkative
2020-05-28,2020-07-19,Elizabeth Martin,Hannah Lindsey,-22.9,44.53333,Sakaraha,MG,Antananarivo,False,False,True,sad
1993-06-07,1993-06-25,Brittany Larson,Edward Hernandez,-21.15,46.58333,Ikalamavony,MG,Antananarivo,False,False,True,scared
2021-06-11,2021-07-02,Mark Owens,Adam Irwin,-22.9,44.53333,Sakaraha,MG,Antananarivo,False,True,True,hostile
2009-12-09,2009-12-30,Sarah Riley,Sarah Brown,-19.65,47.31667,Antanifotsy,MG,Antananarivo,False,True,True,complaining
