sight_on,file_on,sighter,filer,lat,long,town,nation,report_office,has_weapon,has_hat,has_jacket,behavior
1992-10-30,1992-11-25,Justin Hernandez,Lauren Mccoy,-38.65333,178.00417,Gisborne,NZ,Auckland,False,True,True,over-complimenting
1999-01-21,1999-03-03,Anna Huynh,Lori Lowery,-38.65333,178.00417,Gisborne,NZ,Auckland,False,False,True,evasive
2011-10-30,2011-11-04,Susan Duran,James Williams,-44.39672,171.25364,Timaru,NZ,Auckland,False,False,True,scared
2004-12-28,2005-01-30,Andrea Randall,Jeremy Moran,20.88953,-156.47432,Kahului,US,Honolulu,False,True,True,tense
1993-11-20,1993-12-24,Debra Morris,Patricia Miller,20.88953,-156.47432,Kahului,US,Honolulu,False,True,True,panicking
2008-11-03,2008-11-17,Steven Hudson,Chad Chandler,-17.73648,168.31366,Port-Vila,VU,Efate,False,True,True,panicking
2013-08-12,2013-09-16,Alexander Lee,Anthony Hamilton,-17.73648,168.31366,Port-Vila,VU,Efate,True,False,True,over-complimenting
2017-10-21,2017-10-27,Emma Newman,Shawn Ramirez,-38.65333,178.00417,Gisborne,NZ,Auckland,False,True,True,lonely
2012-05-01,2012-05-23,Frank Cooper,Taylor Robinson,-17.73648,168.31366,Port-Vila,VU,Efate,False,False,False,complaining
2000-10-21,2000-12-10,Stacy Montgomery,Kristin Werner,20.88953,-156.47432,Kahului,US,Honolulu,True,True,True,lonely
2015-07-12,2015-08-05,Joseph White,Joseph Moore DVM,-38.65333,178.00417,Gisborne,NZ,Auckland,False,False,True,over-complimenting
1995-06-27,1995-08-18,Kelly Miller,Stacey Morris,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,False,True,True,accusatory
2021-04-29,2021-05-25,Elizabeth Frost,Christopher Ross,20.88953,-156.47432,Kahului,US,Honolulu,False,False,False,friendly
2006-09-11,2006-10-12,Alice Wright,Chad Chandler,20.88953,-156.47432,Kahului,US,Honolulu,False,False,True,paranoid
1997-03-27,1997-05-04,Jacob Osborne,Julia Reynolds,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,False,True,True,tense
2009-10-28,2009-11-08,Daniel Turner,Lauren Smith,-44.39672,171.25364,Timaru,NZ,Auckland,False,False,True,silent
1998-06-21,1998-08-06,George Johnson,Maurice Mccarthy,-38.65333,178.00417,Gisborne,NZ,Auckland,False,True,True,scared
1990-01-12,1990-02-17,Sarah Johnson,Mr. James Hooper,20.88953,-156.47432,Kahului,US,Honolulu,False,False,True,sad
1994-12-11,1995-01-12,Karen Morris,Kayla Klein,20.88953,-156.47432,Kahului,US,Honolulu,False,True,True,tense
2018-08-26,2018-10-12,Manuel Smith,Brandy White,-5.85746,144.23058,Mount Hagen,PG,Port Moresby,False,False,True,panicking
2004-02-06,2004-03-24,Melanie Young,Stephanie Brooks,20.88953,-156.47432,Kahului,US,Honolulu,False,True,True,over-complimenting
2006-10-05,2006-10-18,Kevin Meadows,Patricia Hall,20.88953,-156.47432,Kahului,US,Honolulu,False,True,True,hostile
2014-01-22,2014-01-22,John Tran,Elizabeth Cooper,-44.39672,171.25364,Timaru,NZ,Auckland,False,True,True,paranoid
1987-11-06,1987-12-05,Alicia Bryant,Phillip Quinn,-17.73648,168.31366,Port-Vila,VU,Efate,False,True,True,unhappy
